times,angle_sun,angle_mercury,angle_venus,angle_mars,angle_jupiter,angle_saturn,angle_uranus,dist_sun,dist_mercury,dist_venus,dist_mars,dist_jupiter,dist_saturn,dist_uranus
88992000,2.1495289421,2.3218976277,2.6878485782,2.6180511213,1.5054510598,0.6432008853,0.2392912993,150108498897.955,187640059319.627,204647047740.544,333521888000.15,902838748224.998,1499233936400.25,2948936173092.93
89856000,2.3185137208,2.6396468956,2.8961903518,2.7491065431,1.5396044677,0.6485143121,0.2377624987,150508375427.523,156613666676.006,196221056490.608,337712960869.568,887504717436.921,1474464686884.42,2925851398325.54
90720000,2.4866654695,2.8487330857,3.1024983433,2.8804016563,1.5715828962,0.6510437103,0.2349114516,150850373741.164,121572745549.17,187144102778.781,341664641188.275,869907288664.043,1450104826847.85,2904880682727.16
91584000,2.6541293865,2.912743717,-2.9766407475,3.0118054103,1.6009740202,0.6507489131,0.2308630997,151125102534.7,94750529636.3007,177456596240.232,345397681388.439,850349145679.596,1426831859156.6,2886643648257.47
92448000,2.8210667063,2.8435013375,-2.7751499667,-3.1399902624,1.6273452161,0.6476767343,0.2257850093,151325109242.62,82518632819.1116,167209619249.198,348926356835.721,829175791279.932,1405319170548.97,2871685101934.71
93312000,2.9876505756,2.7551562264,-2.5766084414,-3.0087289808,1.6502454313,0.6419747554,0.2198834635,151445018762.547,87019189072.0475,156464206892.602,352257882429.214,806777920745.834,1386215960814.23,2860457269330
94176000,-3.129123338,2.7723622995,-2.3815612208,-2.8777015136,1.6692125095,0.6339012964,0.2133972686,151481629188.231,104965613118.665,145290756163.432,355392026824.057,783594158136.022,1370124131496.99,2853304194043.62
95040000,-2.9626996916,2.9137446238,-2.1907815823,-2.7470044024,1.683788499,0.6238286462,0.2065894105,151433966705.827,131535319086.922,133768968355.985,358320918001.453,760113447933.807,1357573012971.97,2850449161459.84
95904000,-2.796079331,-3.1248660582,-2.0053891526,-2.6167252601,1.6935459535,0.6122368472,0.1997369556,151303302803.602,162286579295.452,121988760873.667,361029039927.959,736875967047.832,1348993579423.01,2851985938684.43
96768000,-2.6290820885,-2.7963810216,-1.8270358104,-2.4869429767,1.6981281676,0.5996963919,0.1931198405,151093133963.358,189049424560.02,110052940413.485,363493413604.94,714470920876.395,1344694512043.92,2857874461861.33
97632000,-2.46153615,-2.4286216186,-1.6582043933,-2.3577281853,1.6973050659,0.5868400459,0.1870093543,150809122587.01,200108972929.583,98082995923.0008,365683961631.455,693529046639.59,1344842829185.12,2867941327634.5
98496000,-2.2932821551,-2.081197139,-1.5026953353,-2.229143991,1.6910431846,0.5743262662,0.1816571656,150458991407.475,194601744266.39,86230448939.2938,367564054175.466,674707288911.205,1349451633806.56,2881885128848.23
99360000,-2.1241773686,-1.7760067586,-1.3664114162,-2.1012469694,1.6795822429,0.5627986808,0.1772856718,150052375817.008,180181921880.113,74698551413.59,369091234918.704,658663334126.362,1358376763673.43,2899286351108.15
100224000,-1.9540998113,-1.5139105172,-1.258524495,-1.9740884123,1.6635027103,0.5528470895,0.1740802618,149600628973.536,161548044747.295,63783188537.353,370218125124.461,646018955825.363,1371322909647.69,2919621275565.45
101088000,-1.782952254,-1.3004810771,-1.1926785624,-1.847715769,1.6437613585,0.544975074,0.1721838331,149116569593.193,140336402223.837,53946468850.7152,370893503205.196,637313793820.099,1387858425277.17,2942279154432.35
101952000,-1.6106659663,-1.1608975744,-1.1858105003,-1.7221742304,1.6216704986,0.5395777138,0.1716936469,148614171778.738,117750889047.501,45925983641.8253,371063551286.264,632955001489.111,1407436950407.17,2966581842189.2
102816000,-1.4372039876,-1.1573282499,-1.2468581925,-1.5975083746,1.5988068665,0.5369306766,0.1726603765,148108202352.924,98236930403.4919,40787986287.6151,370673257190.069,633171814820.121,1429423376636.19,2991805076144.11
103680000,-1.2625637376,-1.3201556298,-1.3507833913,-1.4737638073,1.5768581473,0.5371898491,0.1750890463,147613824053.812,95829362344.3567,39593886158.1387,369667960633.394,637985435475.427,1453121642529.24,3017200657908.13
104544000,-1.0867788501,-1.3915917337,-1.4360963143,-1.3509887636,1.5574398704,0.5403992306,0.1789414802,147146170859.507,123523015478.998,42564326081.8552,367995008472.845,647202078154.01,1477802252418.76,3042018871285.08
105408000,-0.9099201197,-1.2149378634,-1.4573503025,-1.2292356778,1.5419285644,0.5465042324,0.1841398689,146719873882.367,163156703548.271,48821290236.7451,365605445384.687,660431032742.26,1502728021893.18,3065530532701.47
106272000,-0.7320949001,-0.9342581842,-1.4113389442,-1.1085625591,1.5313498753,0.5553676347,0.1905711046,146348523571.1,192597586069.615,57173851977.5938,362455646281.67,677122835055.459,1527177224531.23,3087048169981.05
107136000,-0.5534447278,-0.6414259247,-1.313936011,-0.989034104,1.5263377612,0.5667859976,0.1980915779,146044138710.414,208803141322.276,66725734041.5109,358508856849.487,696618254913.369,1550463761100.37,3105945817053.49
108000000,-0.3741412695,-0.3563262867,-1.1810545268,-0.870722616,1.5271566302,0.5805050477,0.2065322132,145816693729.1,214740136955.909,76928689780.9541,353736580689.659,718198384982.625,1571954268457.57,3121676895410.72
108864000,-0.1943806912,-0.0784230585,-1.024116605,-0.75370882,1.533763895,0.5962332247,0.2157035837,145673717274.304,212258683437.724,87464232085.2945,348119730247.802,741128721523.23,1591082241040.37,3133789663664.6
109728000,-0.0143766415,0.1954500763,-0.8506913103,-0.6380826724,1.5458885018,0.6136530705,0.2254010029,145619976819.298,201532132891.54,98145430319.7489,341649469669.982,764693752817.509,1607359283112.75,3141939751749.68
